regulation_ID	iso2	year	legal_form
IT_1	IT	2011	Limited liability enterprise
IT_1	IT	2012	Limited liability enterprise
IT_1	IT	2013	Limited liability enterprise
IT_1	IT	2014	Limited liability enterprise
IT_1	IT	2015	Limited liability enterprise
IT_1	IT	2016	Limited liability enterprise
IT_1	IT	2017	Limited liability enterprise
IT_1	IT	2018	Limited liability enterprise
IT_1	IT	2019	Limited liability enterprise
IT_1	IT	2020	Limited liability enterprise
IT_1	IT	2021	Limited liability enterprise
IT_1	IT	2022	Limited liability enterprise
IT_2	IT	2010	"Partnership, co-operatives, associations, etc."
IT_2	IT	2011	"Partnership, co-operatives, associations, etc."
IT_2	IT	2012	"Partnership, co-operatives, associations, etc."
IT_2	IT	2013	"Partnership, co-operatives, associations, etc."
IT_2	IT	2014	"Partnership, co-operatives, associations, etc."
IT_2	IT	2015	"Partnership, co-operatives, associations, etc."
IT_2	IT	2016	"Partnership, co-operatives, associations, etc."
IT_2	IT	2017	"Partnership, co-operatives, associations, etc."
IT_2	IT	2018	"Partnership, co-operatives, associations, etc."
IT_2	IT	2019	"Partnership, co-operatives, associations, etc."
IT_2	IT	2020	"Partnership, co-operatives, associations, etc."
IT_2	IT	2021	"Partnership, co-operatives, associations, etc."
IT_2	IT	2022	"Partnership, co-operatives, associations, etc."
IT_3	IT	2010	Sole proprietorship
IT_3	IT	2011	Sole proprietorship
IT_3	IT	2012	Sole proprietorship
IT_3	IT	2013	Sole proprietorship
IT_3	IT	2014	Sole proprietorship
IT_3	IT	2015	Sole proprietorship
IT_3	IT	2016	Sole proprietorship
IT_3	IT	2017	Sole proprietorship
IT_3	IT	2018	Sole proprietorship
IT_3	IT	2019	Sole proprietorship
IT_3	IT	2020	Sole proprietorship
IT_3	IT	2021	Sole proprietorship
IT_3	IT	2022	Sole proprietorship
IT_4	IT	2010	Limited liability enterprise
IT_4	IT	2011	Limited liability enterprise
IT_4	IT	2012	Limited liability enterprise
IT_4	IT	2013	Limited liability enterprise
IT_4	IT	2014	Limited liability enterprise
IT_4	IT	2015	Limited liability enterprise
IT_4	IT	2016	Limited liability enterprise
IT_4	IT	2017	Limited liability enterprise
IT_4	IT	2018	Limited liability enterprise
IT_4	IT	2019	Limited liability enterprise
IT_4	IT	2020	Limited liability enterprise
IT_4	IT	2021	Limited liability enterprise
IT_4	IT	2022	Limited liability enterprise
IT_5	IT	2010	"Partnership, co-operatives, associations, etc."
IT_5	IT	2011	"Partnership, co-operatives, associations, etc."
IT_5	IT	2012	"Partnership, co-operatives, associations, etc."
IT_5	IT	2013	"Partnership, co-operatives, associations, etc."
IT_5	IT	2014	"Partnership, co-operatives, associations, etc."
IT_5	IT	2015	"Partnership, co-operatives, associations, etc."
IT_5	IT	2016	"Partnership, co-operatives, associations, etc."
IT_5	IT	2017	"Partnership, co-operatives, associations, etc."
IT_5	IT	2018	"Partnership, co-operatives, associations, etc."
IT_5	IT	2019	"Partnership, co-operatives, associations, etc."
IT_5	IT	2020	"Partnership, co-operatives, associations, etc."
IT_5	IT	2021	"Partnership, co-operatives, associations, etc."
IT_5	IT	2022	"Partnership, co-operatives, associations, etc."
IT_6	IT	2010	Sole proprietorship
IT_6	IT	2011	Sole proprietorship
IT_6	IT	2012	Sole proprietorship
IT_6	IT	2013	Sole proprietorship
IT_6	IT	2014	Sole proprietorship
IT_6	IT	2015	Sole proprietorship
IT_6	IT	2016	Sole proprietorship
IT_6	IT	2017	Sole proprietorship
IT_6	IT	2018	Sole proprietorship
IT_6	IT	2019	Sole proprietorship
IT_6	IT	2020	Sole proprietorship
IT_6	IT	2021	Sole proprietorship
IT_6	IT	2022	Sole proprietorship
LT_1	LT	2010	Limited liability enterprise
LT_1	LT	2011	Limited liability enterprise
LT_1	LT	2012	Limited liability enterprise
